video_url,brazilian_state,corrected_transcription,text_origin,specific_contexts,Os contextos específicos fornecidos fazem sentido? Alguma outra explicação poderia ser incluída?,punchlines,Os trechos selecionados realmente contribuem para a comicidade do texto? Há algum outro trecho que caiba ser destacado?,joke_explanation,A explicação está clara e bem fundamentada? Está coerente com os elementos do texto? De fato é isso que torna o texto engraçado? Que outra ideia poderia ser explicada?,fun,humor,nonsense,wit,irony,satire,sarcasm,cynicism,Os estilos cômicos atribuídos fazem sentido? Algum outro estilo deveria ser incluído?,Algum estilo cômico deveria ser removido?,annotator_ID
https://www.youtube.com/shorts/Xcve3ifSxWg?feature=share,Ceará,"O cara me chamou falou aqui ó, puxou pistola. Se você falar mal do Colombo hoje e jogou assim em cima da mesa. Isso eu em Colombo. Pro cê falar mal do Colombo aí hoje ó porra. Já tava com umas duas na cabeça. Quantas balas caba aí? Cê não falou isso, tá louco mano. 15. Por que? Eu falei vai buscar mais. Isso aí não dá nem para começar para nós trocar tiro. Aí o cara riu ou ele falou alguma coisa? Não, eu sou policial, tô brincando com você. Eu falei ah, sorte sua. Numa dessa você pega o cara com os ovo virado. Eu também já tava. Cê já tava né. Os ovo virado era eu esse dia.",Podcast,"""Ovo virado"" é uma gíria pra indicar que alguém está mau humorado, irritado. ",,"Eu falei, vai buscar mais. Isso aí não dá nem para começar para nós trocar tiro.; Os ovo virado era eu esse dia.",,"O humorista narra uma cena tensa, porém cômica, em que desafiou alguém armado, dizendo que a pessoa tinha poucas balas para sequer começar uma troca de tiros. No entanto, ao perceber que se tratava de um policial, ele admite ter tido sorte por o oficial não estar de “ovo virado” (irritado) naquele dia, pois o desfecho poderia ter sido bem pior. No fim, ele brinca dizendo que, na verdade, quem estava realmente de ""ovo virado"" era ele mesmo.",,Sim,Sim,Não,Não,Sim,Não,Sim,Não,,,1
https://www.youtube.com/shorts/QV80EKixLYc?feature=share,Pernambuco,"Quem já passou algumas coisas muito engraçadas com cachaça na vida grita eu! Eu! Qual foi a bebida? Cerveja! Eu tava na pescaria no Araguaia, tomando a Crystal. A Crystal? Ah tá bom! E ele tem a cara de pau de dizer era Cerveja! Como é Crystal né, bateu aquele rebuliço. Sim, deu enroladinha. Normal. Aí você vai no mato né, que não em banheiro, aí você agacha e cai pra frente. Tu tá dando um tutorial de como... Caiu pra frente. Tu caiu pra frente? Pra frente tonto! Imagina ele lá... Amei, tô amando, tô amando, tô amando. Por mim já ia pra Record já, tô amando já. Vai no seu tempo. Aí! Aí foi isso!",Stand-up,Record é uma rede de televisão comercial aberta brasileira. A cerveja Crystal é um cerveja brasileira. ,,"E ele tem a cara de pau de dizer era Cerveja!; Tu tá dando um tutorial de como... Caiu pra frente. Tu caiu pra frente? Pra frente tonto!; Por mim já ia pra Record já, tô amando já. Vai no seu tempo. ",,"O humorista desdenha da marca Crystal a partir do depoimento de um espectador presente, além de insinuar que ele pode ser da Record, conhecida por ter atores não muito bons, dado que a história contada por ele parecia ser mentira.",,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Incluir sarcasmo,,1
https://www.youtube.com/shorts/yn3-Kmp7hjM?feature=share,Bahia,"O calor é estranho, né? Porque é um calor de concreto. Não é um calor que vem só do céu. É um calor que vem do céu e do chão. Parece que vocês conseguiu brigar com Deus e com Satanás. Parece que vocês aborreceram os dois, pô. Eu não acho isso nem justo. Não acho justo, não. Vocês têm que ver isso, pô. Não sei, velho. Vai ter eleição pra prefeita aí, vota num cara crente, velho. Vê se tem um evangélico assim, forte, velho. Ou então, sei lá, uma pessoa assim de uma coisa esotérica, um índio. Uma pessoa do candomblé que faz um feitiço e chove, velho. Tá foda, pô. Calor da porra.",Stand-up,,,"É um calor que vem do céu e do chão. Parece que vocês conseguiu brigar com Deus e com Satanás. Parece que vocês aborreceram os dois, pô.; Vê se tem um evangélico assim, forte, velho. Ou então, sei lá, uma pessoa assim de uma coisa esotérica, um índio. Uma pessoa do candomblé que faz um feitiço e chove, velho. ",,"O humorista brinca de maneira criativa sobre o calor excessivo, indicando que talvez tenha havido uma guerra entre Deus e o diabo. Além disso, sugere de forma bem-humorada que votemos em sacerdotes que possam pedir às suas entidades que cessem o calor. ",,Sim,Sim,Sim,Sim,Não,Não,Não,Não,,,1
https://www.youtube.com/shorts/21a97PKI-xs?feature=share,Pernambuco,"Qual é o meu trabalho como comediante? Falar merda. Falar merda. E qual é o trabalho de vocês? Escutar merda. Escutar merda e? E rir. E rir, porra. Porque tipo, essa é a parada. Mas o nome? Pedro, você faz o que da vida? Eu sou agrônomo. Você é agrônomo? Hum, não sabe plantar, né? Eu gosto de plantar. Eu queria até uma amiga. Uma mandioca. Uma mandioca? Já. Já? Já pegasse. Já. Claro que sim. Sei, tu também, né? Trabalhar com isso, porra. A gente sabe muito mais do que eu, Pedro.",Stand-up,,,Falar merda.; Escutar merda.; Uma mandioca.,,"De forma grosseira, o humorista enfatiza a diferença entre o papel do comediante e o da plateia. Em seguida, interage com um espectador agrônomo, que menciona gostar de plantar. Aproveitando a deixa, o humorista brinca dizendo que até deseja uma mandioca, fazendo referência à expressão 'plantar mandioca', usada com duplo sentido.",,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,,,1
https://www.youtube.com/shorts/EQ9Zuff_i-w?feature=share,Piauí,"Boa noite! Obrigado, obrigado, obrigado! Muito obrigado! Que legal, muito tempo voltando. É isso aí, hein? Lotadaço! Quantas pessoas tem aqui? Suficiente pra pagar os bagulhos. Não, tem 700 pessoas, 700 pessoas, caralho, foda. Lembrou muito o meu começo Eu... Eu tava... Não, tava... Até porque no Piauí só tem 700 pessoas.",Stand-up,O humorista vem do Piauí.,,Até porque no Piauí só tem 700 pessoas.,,O humorista afirma de forma irônica que no Piauí só tem 700 pessoas e por isso que havia uma plateia tão pequena no início de sua carreira.,,Sim,Não,Não,Sim,Sim,Não,Não,Não,Incluir sarcasmo,,1
https://www.youtube.com/shorts/49vHUydIbNE?feature=share,Bahia,"Sou fofoqueiro que eu gosto de escutar fofoca falando que eu não vou contar. Sabe? Que é aquele que a pessoa chega assim e fala... Oi, velho, eu tô querendo falar um negócio com você, mas eu nem sei se eu posso contar. Você... Claro que pode! Ó você! Claro, me conte! Automaticamente, dentro de você já tá assim... Eu vou contar pra quem? Você tá vindo as pessoas que você vai contar. Pessoa conta fofoca, dois dias depois a fofoca já volta pra pessoa diferente. E você, sim! Pessoa volta, rapaz, eu li contei um negócio, o povo tudo sabendo, aí você na cara de pau na pessoa... Só tem fofoqueiro aqui! Eu tô em casa!",Stand-up,,,"Claro que pode!; Automaticamente, dentro de você já tá assim... Eu vou contar pra quem?; Pessoa volta, rapaz, eu li contei um negócio, o povo tudo sabendo, aí você na cara de pau na pessoa...",,"O humorista brinca ao dizer que adora ouvir fofocas e prometer que não vai contar para ninguém. Ele ainda comenta que, muitas vezes, você compartilha uma fofoca com alguém e, dois dias depois, ela volta totalmente distorcida, e ele não pode reclamar, já que foi ele mesmo espalhou algo que jurou manter em segredo.",,Sim,Sim,Não,Não,Sim,Não,Não,Não,,,1
https://www.youtube.com/shorts/i0XFdPvJC_E?feature=share,Pernambuco,"Você se conheceu num bar na frente da escola. A bebida, ela une as pessoas. A bebida, ela une. A bebida, ela faz você criar mais respeito ao próximo. Você chega num lugar desse aqui, num bar, você senta e fala Meu príncipe, desce aquela gelada. O garçom chega e fala, tudo bem, meu consagrado? Tá na mesa. Olha. Puta que pariu, isso é respeito. Não me diz respeito. Tu mal chegou, já se consagrou. Eu tenho meus amigos, tudo em bebida, meus amigos, tudo em bebida. Ele fala, mas Flávio, você não tem nenhum amigo, pelo menos da época da escola? Eu falo, tenho. A gente se conheceu num bar na frente da escola.",Stand-up,,,"Meu príncipe, desce aquela gelada. O garçom chega e fala, tudo bem, meu consagrado? Tá na mesa. Olha. Puta que pariu, isso é respeito.; Eu falo, tenho. A gente se conheceu num bar na frente da escola.",,"O humorista ilustra como a bebida pode aproximar as pessoas, mencionando, por exemplo, o respeito que recebemos do garçom ao pedir uma cerveja. Ele também destaca que suas amizades da época da escola só se mantiveram porque compartilhavam momentos bebendo juntos.",,Sim,Não,Não,Não,Não,Não,Não,Não,,,1
https://www.youtube.com/shorts/BA1CMZjRSmI?feature=share,Ceará,"A piada do dia foi enviada por Jorge Dieron Carvalho Rafael de Maracanãú no Ceará. A piada é o seguinte, depois de muitas brigas o marido chega para a esposa e... Olha aqui mulher, eu já não aguento mais. Vamos dividir a casa. Você fica com um lado e eu fico com o outro. Fechado, eu fico com o lado de dentro.",Programa humorístico,,,"Fechado, eu fico com o lado de dentro.",,A personagem faz um jogo de palavras para indicar que quer se livrar do marido e morar sozinha.,,Sim,Não,Não,Sim,Sim,Não,Não,Não,Incluir absurdo,,1
https://www.youtube.com/shorts/Ud5mh21ZU9w?feature=share,Pernambuco,"Uma vez eu atendi uma senhora, a senhora Catarina, eu nunca esqueci essa mulher, que ela veio toda educada: você pode, por gentileza, verificar? Porque eu não estou conseguindo fazer ligações aqui no meu... Eu, senhora Catarina, claro, senhora Catarina, vou verificar aqui o que é que tem. Quando eu fui ver, a senhora Catarina tinha quatro faturas em atraso. Quatro contas, não era uma não, duas, três não. Quatro contas sem pagar. Senhora Catarina, eu verifiquei aqui no sistema que a senhora pode estar tendo algum impedimento porque a senhora não pagou as últimas quatro contas, né? Então eu não vou estar podendo desbloquear. Nessa hora a mulher virou o demônio. Ela virou pra mim e falou, escuta aqui, você vai desbloquear a minha linha agora, se não, ela fez uma ameaça que eu nunca vou esquecer, ela fez, se não eu vou acabar com a sua raça usando o poder da minha mente. E eu fiz, agora fudeu. Agora fudeu, que eu esperava atender tudo hoje, mas um X-men... Você tá dizendo...",Stand-up,X-Men é uma equipe de super-heróis de histórias em quadrinhos épicas publicadas nos Estados Unidos pela Marvel Comics. ,,"Quando eu fui ver, a senhora Catarina tinha quatro faturas em atraso.; se não eu vou acabar com a sua raça usando o poder da minha mente.; que eu esperava atender tudo hoje, mas um X-men...",,"O humorista diverte ao contar que, certa vez, enquanto trabalhava como atendente de telemarketing, atendeu uma cliente extremamente simpática que queria saber por que não conseguia fazer ligações. Ao verificar o sistema, ele se surpreendeu ao ver que ela tinha quatro faturas atrasadas, deixando a entender que sua ""ingenuidade"" era apenas fingimento. Quando explicou que não poderia desbloquear as ligações, a mulher mudou de tom abruptamente e, de forma bizarra, ameaçou acabar com a raça dele usando apenas o poder da mente. Ele então brinca que esperava lidar com todo tipo de cliente, menos com um personagem do X-Men, fazendo referência aos mutantes com habilidades telepáticas da franquia.",,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,,,1
https://www.youtube.com/shorts/Q85e-nDTrOo?feature=share,Paraíba,"Olha como a gente, a nível de humanidade, olha como a gente se acha muito. Imagina Deus, Deus que é Deus. Deus manda o seu único filho morrer por uma humanidade que empurra uma porta que tá escrito PUXE. A gente não tá se achando muito não, tem muito mais em jogo, gente.",Stand-up,,,Deus manda o seu único filho morrer por uma humanidade que empurra uma porta que tá escrito PUXE.,,"O humorista zomba da humanidade de maneira extrema, dando a entender que talvez Deus esteja decepcionado por ter oferecido seu filho a favor de uma espécie tão soberba, mas que erra coisas básicas.",,Não,Sim,Não,Não,Não,Não,Sim,Sim,,Cinismo,1
