video_url,brazilian_state,video_title,video_length_seconds,transcription,audio_path
https://www.youtube.com/shorts/oeXyg7BTpEY?feature=share,Alagoas,ED GAMA | O NORDESTE É UM PRÉDIO - Stand Up Comedy #shorts,34.0," Não entende absolutamente nada de geografia do Brasil. Porque sempre que eu digo que eu sou de Maceió, vem alguém e diz Ô, se tu é de Maceió, pois tem um parente meu que mora pertinho de você. Em São Luís do Maranhão. Pô, porra, tu acha que o Nordeste é um prédio, é porra? Que é o primeiro andar a Lagoa, o segundo andar Maranhão, o subsolo que é mais fodido é o Piauí. Não é assim não, porra. Aí tem uma feira linda aqui, Centro de Tradições Nordestinas, Luiz Gonzaga. Vocês chamam como? Feira dos Paraíba. Aí é foda.",/content/humor_experiments/data/audios/ED GAMA | O NORDESTE É UM PRÉDIO - Stand Up Comedy #shorts.mp3
https://www.youtube.com/shorts/-L6hLyDM2q4?feature=share,Alagoas,NÃO SEJA INTOLERANTE - Ed Gama #comedia #engraçado #shorts,23.0," Seguinte, você intolerante a lactose, com 30 anos de idade, você acha que é certo ser intolerante às coisas? Faz uma terapia, cara. Seja mais tolerante. A gente cobra tolerância no mundo hoje pra você dizer, ah, eu sou intolerante à lactose. Seja tolerante! Mas é algo físico, é, gente. Então, pô. Mas é aqui, ó. Trabalho em mente.",/content/humor_experiments/data/audios/NÃO SEJA INTOLERANTE - Ed Gama #comedia #engraçado #shorts.mp3
https://www.youtube.com/shorts/A849tfiWJ-c?feature=share,Alagoas,Ed Gama Fez Com Cartão De Crédito Da Vó Dele #shorts #podcast #edgama,46.0, Veja só o que o humorista Ed Gama fez com o cartão de crédito da avó dele. O que o humorista Ed Gama fez com o cartão de crédito da avó dele.,/content/humor_experiments/data/audios/Ed Gama Fez Com Cartão De Crédito Da Vó Dele #shorts #podcast #edgama.mp3
https://www.youtube.com/shorts/CFqeMCesgpo?feature=share,Alagoas,Baiano faz axé com qualquer coisa (by @Ed Gama ),21.0," O baiano é foda, ele encontra um amigo e faz uma música E ele faz aê, aê, aê, aê, aê, ô, ô, ô, ô, ô, ô, pronto, uma música O baiano é foda O baiano é top E quando briga ele faz outra Ele fica pronto e fala, cara, caramba, cara, cara, ô E cara, caramba, cara, cara, ô",/content/humor_experiments/data/audios/Baiano faz axé com qualquer coisa (by @Ed Gama ).mp3
https://www.youtube.com/shorts/8SXyzZ0elF0?feature=share,Alagoas,Velho grosso- Ed gama conta como seu avô era delicado! #brasil #edgama #comedyvideo,22.0," Vou vir almoçar aqui com o senhor. Aí eu, coisa boa. Aí tem uma moça que trabalha lá, era a Quitéria. Aí eu, ô Quitéria, o menino veio almoçar aqui. Pega uma galinha dessa, que ele tinha uma granja assim. Pega uma galinha dessa e vamos fazer uma galinhada. Aí a Quitéria, o senhor quer que eu mate, é? Ele não deu uma surra e solta. Véio grosso do caralho, meu irmão.",/content/humor_experiments/data/audios/Velho grosso- Ed gama conta como seu avô era delicado! #brasil #edgama #comedyvideo.mp3
https://www.youtube.com/shorts/lDPYNlDtp9g?feature=share,Alagoas,é o Ed ou o Faustão imitando o Cleber Machado (nem eu entendi esse título) #shorts,37.0," Eu não sei imitar ele, mas eu sei como funciona a linha de raciocínio do Cléber Machado. A última palavra sempre tem que ser a primeira da próxima frase. Então ele fala assim... Oi, pra você ligado na Globo, hoje tem Palmeiras e Corinthians. Corinthians que está mal no campeonato, campeonato brasileiro que hoje chega na sua trigésima rodada. Trigésima rodada que também tem São Paulo e Curitiba na belíssima cidade de Curitiba. Curitiba que acabou de subir aqui pra primeira divisão. Primeira divisão que termina no dia 24 de dezembro. Dia 24 de dezembro também é Natal. Natal que é a capital do Rio Grande do Norte. O Norte que é uma região brasileira.",/content/humor_experiments/data/audios/é o Ed ou o Faustão imitando o Cleber Machado (nem eu entendi esse título) #shorts.mp3
https://www.youtube.com/shorts/DcFUgylDCWo?feature=share,Alagoas,ED GAMA PERGUNTEI NO INSTAM COM QUEM ME PAREÇO OLHA A RESPOSTA,33.0," Uma vez, o pior encontro da minha história, eu até falei no meu Instagram esses dias, fiz um vídeo. Eu no Tinder, eu nunca fui bom de Tinder, porque eu nunca gostava das minhas imagens. Uma vez eu botei uma foto minha, aí a mulher, nossa, achei que era o Luciano do Zezé do Camargo. Ah, vai tomar no cu. Aí, depois eu botei um, fiz naquela época no Instagram, com quem me pareço? A galera dizia que eu parecia com a traseira de um celta. Aí, meu Instagram vinculado com a conta, aí eu...",/content/humor_experiments/data/audios/ED GAMA PERGUNTEI NO INSTAM COM QUEM ME PAREÇO OLHA A RESPOSTA.mp3
https://www.youtube.com/shorts/Tpah3NF5I2g?feature=share,Alagoas,DESCOBRINDO QUE ERA CORNO   ED GAMA & FELIX  SAM    FLOW PODCAST #shorts,56.0," E outra, pra que associar corno a uma coisa ruim? Eu aprendi com minha mãe. Mas calma. A comida da minha mãe é maravilhosa. Aí o que ela fez? Abriu um restaurante. Eu entendi. Então por que que corno é ruim? Quer dizer que a sua parceira ou o seu parceiro é tão gostoso que outros também têm o direito de comer. Pense nisso. Ser corno pode ser um upgrade pra você. Como eu descobri que eu era corno com isso? A minha ex, ela surgiu do meio do nada e falou que tinha me traído nove vezes. Nossa. Enquanto a gente webnamorava. Então eu descobri que era corno no meio disso tudo, entendeu? Cara, tu webnamorou, cara. Webnamorei. Então é, você pediu pra ser corno. Por uns dois anos, então... Mas esse cara que ele webnamorou era o Antônio. Não, eu fui, eu fui, eu fui ver ela. Morador de caraguatatuba. Eu fui, eu fui, eu fui ver ela.",/content/humor_experiments/data/audios/DESCOBRINDO QUE ERA CORNO   ED GAMA & FELIX  SAM    FLOW PODCAST #shorts.mp3
https://www.youtube.com/shorts/MePUKtsSsrQ?feature=share,Alagoas,Ed gama deu a solução para o problema no Brasil 😂,60.0," Vamos fazer o seguinte, a gente aqui é tudo brasileiro pra caralho, todos nós somos. Apesar de tudo que tá acontecendo de ruim no nosso país, nós amamos esse país pra caralho. Vamos todo mundo ficar em segredo. O pessoal do Banco Central vai todo mundo pra porta do Banco Central. O Banco Central imprime um milhão de reais pra cada brasileiro. Vai levar um tempo? Vai levar um tempo. Qualquer coisa transfere direto pra conta, a gente vai nem perceber. E aí a gente fica em segredo e não conta nada pros Estados Unidos, pra ninguém. O único problema de imprimir mais dinheiro e aumentar a inflação é porque todo mundo vai saber. Agora, se a gente fizer isso em segredo, se você acordar amanhã com um milhão de reais na sua conta, não fala nada pra ninguém não. É isso aí. Porque aí a gente pode, se o Paulo Guedes estiver assistindo isso e vocês prometerem pra gente, deixa aqui no comentário, eu, fulano de tal, prometo não contar a ninguém. E seu nome, a cidade onde está falando? Os números do seu cartão e os três dígitos de trás, com a data de validade. Isso, isso aí. E aí, por quê? Porque isso vai facilitar com que o país... Paulo Guedes, deposito na sua conta.",/content/humor_experiments/data/audios/Ed gama deu a solução para o problema no Brasil 😂.mp3
https://www.youtube.com/shorts/MGkFOaK_vYU?feature=share,Alagoas,Coxinha do Ed gama #shorts,29.0," Ai coxinha, uns comem pela ponta, outros comem pela bundinha, mas independente de onde você coma, meu amigo, o importante é você comer. Olha como a faca, né, ela chega a dar uma travada, por quê? Porque essa bicha tá crocante, do jeito que a gente ama, do jeito que a gente quer. Eu quero ver esse frango com catupiry, me mostra, me mostra, me mostra, me mo... Kiwi? Aqui eu gastarei meu ré primário? Como é que o cabra bota um kiwi dentro de uma coxinha, minha gente?",/content/humor_experiments/data/audios/Coxinha do Ed gama #shorts.mp3
