video_url,video_title,publish_date,brazilian_state,text_origin,corrected_transcription,specific_contexts,punchlines,fun,humor,nonsense,wit,irony,satire,sarcasm,cynicism,joke_explanation
https://www.youtube.com/shorts/Xcve3ifSxWg?feature=share,O CARA PUXOU A PISTOLA PRA MIM E EU... - EMERSON CEARÁ  (+DÉLIO MACNAMARA) #SHORTS,"Dec 6, 2022",Ceará,Podcast,"Humorista: O cara me chamou falou aqui ó, puxou pistola: procê falar mal do Colombo hoje. E jogou assim em cima da mesa. Isso eu em Colombo. Pro cê falar mal do Colombo aí hoje ó porra. Já tava com umas duas na cabeça. Quantas balas cabe aí?
Entrevistador: Cê não falou isso.
Humorista: tá louco mano. 15. Por que? Eu falei: vai buscar mais. Isso aí não dá nem para começar para nós trocar tiro.
Entrevistador: Aí o cara riu ou ele falou alguma coisa?
Humorista: Falou: não, eu sou policial, tô brincando com você. Eu falei ah, sorte sua.
Entrevistador: Numa dessa você pega o cara com os ovo virado.
Humorista: Eu também já tava.
Entrevistador: Cê já tava né.
Humorista: Os ovo virado era eu esse dia.","""Ovo virado"" é uma gíria pra indicar que alguém está mau humorado, irritado. ","Eu falei, vai buscar mais. Isso aí não dá nem para começar para nós trocar tiro.; Os ovo virado era eu esse dia.",1,1,0,0,1,0,1,0,"O humorista narra uma cena tensa, porém cômica, em que desafiou alguém armado, dizendo que a pessoa tinha poucas balas para sequer começar uma troca de tiros. No entanto, ao perceber que se tratava de um policial, ele admite ter tido sorte por o oficial não estar de “ovo virado” (irritado) naquele dia, pois o desfecho poderia ter sido bem pior. No fim, ele brinca dizendo que, na verdade, quem estava realmente de ""ovo virado"" era ele mesmo."
https://www.youtube.com/shorts/QV80EKixLYc?feature=share,Cachaçaaa😂😂 - Flavio Andradde - #shorts,"Oct 30, 2024",Pernambuco,Stand-up,"Humorista: Quem já passou algumas coisas muito engraçadas com cachaça na vida grita eu!
Espectador: Eu!
Humorista: Qual foi a bebida?
Espectador: Cerveja! Eu tava na pescaria no Araguaia, tomando a Crystal.
Humorista: A Crystal? Ah tá bom! E ele tem a cara de pau de dizer era Cerveja!
Espectador: Como é Crystal né, bateu aquele rebuliço.
Humorista: Sim, deu enroladinha. Normal.
Espectador: Aí você vai no mato né, que não tem banheiro, aí você agacha e cai pra frente.
Humorista: Tu tá dando um tutorial de como...
Espectador: Caiu pra frente.
Humorista: Tu caiu pra frente?
Espectador: Pra frente tonto!
Humorista: Imagina ele lá... Amei, tô amando, tô amando, tô amando. Por mim já ia pra Record já, tô amando já. Vai no seu tempo.
Espectador: Aí! Aí foi isso!",Record é uma rede de televisão comercial aberta brasileira. A cerveja Crystal é um cerveja brasileira. ,"E ele tem a cara de pau de dizer era Cerveja!; Tu tá dando um tutorial de como... Caiu pra frente. Tu caiu pra frente? Pra frente tonto!; Por mim já ia pra Record já, tô amando já. Vai no seu tempo. ",1,1,0,1,0,1,1,0,"O humorista desdenha da marca Crystal a partir do depoimento de um espectador presente, além de insinuar que ele pode ser da Record, conhecida por ter atores não muito bons, dado que a história contada por ele parecia ser mentira."
https://www.youtube.com/shorts/yn3-Kmp7hjM?feature=share,Eleição para Prefeito  A Solução para o Calor | Matheus Buente #cortes #standup #standupcomedy,"Oct 3, 2024",Bahia,Stand-up,"O calor é estranho, né? Porque é um calor de concreto. Não é um calor que vem só do céu. É um calor que vem do céu e do chão. Parece que vocês conseguiu brigar com Deus e com Satanás. Parece que vocês aborreceram os dois, pô. Eu não acho isso nem justo. Não acho justo, não. Vocês têm que ver isso, pô. Não sei, velho. Vai ter eleição pra prefeita aí, vota num cara crente, velho. Vê se tem um evangélico assim, forte, velho. Ou então, sei lá, uma pessoa assim de uma coisa esotérica, um índio. Uma pessoa do candomblé que faz um feitiço e chove, velho. Tá foda, pô. Calor da porra.",,"É um calor que vem do céu e do chão. Parece que vocês conseguiu brigar com Deus e com Satanás. Parece que vocês aborreceram os dois, pô.; Vê se tem um evangélico assim, forte, velho. Ou então, sei lá, uma pessoa assim de uma coisa esotérica, um índio. Uma pessoa do candomblé que faz um feitiço e chove, velho. ",1,1,1,1,0,0,0,0,"O humorista brinca de maneira criativa sobre o calor excessivo, indicando que talvez tenha havido uma guerra entre Deus e o diabo. Além disso, sugere de forma bem-humorada que votemos em sacerdotes que possam pedir às suas entidades que cessem o calor. "
https://www.youtube.com/shorts/21a97PKI-xs?feature=share,Sempre tem um Pedro! #brasil #humor #shorts #piadas #comedia,"Nov 28, 2022",Pernambuco,Stand-up,"Humorista: Qual é o meu trabalho como comediante?
Espectador: Falar merda.
Humorista: Falar merda. E qual é o trabalho de vocês?
Espectador: Escutar merda.
Humorista: Escutar merda e? E rir. E rir, porra. Porque tipo, essa é a parada. Como é seu nome?
Espectador: Pedro.
Humorista: Pedro, você faz o que da vida?
Espectador: Eu sou agrônomo, véi.
Humorista: Você é agrônomo? Hum, sabe plantar, né? Eu gosto das planta. Eu viajo. Queria até umas dica.
Espectador: Já conheceu uma mandioca?
Humorista: Uma mandioca?
Espectador: Já?
Humorista: Já!
Espectador: Já pegasse numa?
Humorista: Já.
Espectador: Sabe bem.
Humorista: Sei, tu também, né? Trabalhar com isso, porra. Oxe, sabe muito mais do que eu, Pedro.",,Falar merda.; Escutar merda.;  Eu gosto das planta. Eu viajo. Queria até umas dica.; Uma mandioca.,1,1,0,1,1,0,1,0,"De forma grosseira, o humorista enfatiza a diferença entre o papel do comediante e o da plateia. Em seguida, interage com um espectador agrônomo, que menciona gostar de plantar. De forma irônica, o humorista afirma que também gosta de plantar e ""viajar"", fazendo referência a maconha, e diz que até quer umas dicas com o espectador. Aproveitando a deixa, o humorista brinca dizendo que até deseja uma mandioca, fazendo referência à expressão 'plantar mandioca', usada com duplo sentido."
https://www.youtube.com/shorts/EQ9Zuff_i-w?feature=share,Whindersson ZUANDO os 4 Amigos 🤣🤣🤣 | Whindersson Nunes STAND UP COMEDY #comedia #standup,"Apr 5, 2023",Piauí,Stand-up,"Humorista: Boa noite! Obrigado, obrigado, obrigado! Muito obrigado! Que legal, muito tempo voltando. É isso aí, hein? Lotadaço! Quantas pessoas tem aqui? Suficiente pra pagar os bagulhos.
Pessoa: Não, tem 700 pessoas.
Humorista: 700 pessoas, caralho, foda. Lembrou muito o meu começo. Eu... Eu tava... Não, tava...
Pessoa: Até porque no Piauí só tem 700 pessoas.",O humorista vem do Piauí.,Lembrou muito o meu começo; Até porque no Piauí só tem 700 pessoas.,1,0,0,1,1,0,1,0,Uma pessoa afirma de forma irônica que no Piauí só tem 700 pessoas e por isso que o humorista tinha uma plateia tão pequena no início de sua carreira.
https://www.youtube.com/shorts/49vHUydIbNE?feature=share,"Fofoca? Aceito! 🗣️😂 Ninguém resiste à uma fofoquinha, né, Jhordan Matheus? #HumorNegro #shorts","Aug 25, 2023",Bahia,Stand-up,"Sou fofoqueiro que eu gosto de escutar fofoca falando que eu não vou contar. Sabe? Que é aquele que a pessoa chega assim e fala... Oi, velho, eu tô querendo falar um negócio com você, mas eu nem sei se eu posso contar. Você... Claro que pode! Ó você! Claro, me conte! Automaticamente, dentro de você já tá assim... Eu vou contar pra quem? Você tá vendo as pessoas que você vai contar. Pessoa conta fofoca, dois dias depois a fofoca já volta pra pessoa diferente. E você: sim! Pessoa volta: rapaz, eu li contei um negócio, o povo tudo sabendo, aí você na cara de pau na pessoa... Só tem fofoqueiro aqui! Eu tô em casa!",,"Claro que pode!; Automaticamente, dentro de você já tá assim... Eu vou contar pra quem?; Pessoa volta, rapaz, eu li contei um negócio, o povo tudo sabendo, aí você na cara de pau na pessoa...",1,1,0,0,1,0,0,0,"O humorista brinca ao dizer que adora ouvir fofocas e prometer que não vai contar para ninguém. Ele ainda comenta que, muitas vezes, você compartilha uma fofoca com alguém e, dois dias depois, ela volta totalmente distorcida, e ele não pode reclamar, já que foi ele mesmo espalhou algo que jurou manter em segredo."
https://www.youtube.com/shorts/i0XFdPvJC_E?feature=share,Flávio Andrade  - A magia do Bar.  #comedia #humor #standupbrasil #flavioandrade #shorts,"Oct 16, 2024",Pernambuco,Stand-up,"A gente se conheceu num bar na frente da escola. A bebida, ela une as pessoas. A bebida, ela une. A bebida, ela faz você criar mais respeito ao próximo. Você chega num lugar desse aqui, num bar, você senta e fala: meu príncipe, desce aquela gelada. O garçom chega e fala: tudo bem, meu consagrado? Tá na mesa. Olha. Puta que pariu, isso é respeito. Não me diz respeito. Tu mal chegou, já se consagrou. Eu tenho meus amigos, tudo em bebida, meus amigos, tudo em bebida. Ele fala: mas Flávio, você não tem nenhum amigo, pelo menos da época da escola? Eu falo: tenho. A gente se conheceu num bar na frente da escola.",,"Meu príncipe, desce aquela gelada. O garçom chega e fala, tudo bem, meu consagrado? Tá na mesa. Olha. Puta que pariu, isso é respeito.; Eu falo, tenho. A gente se conheceu num bar na frente da escola.",1,0,0,0,0,0,0,0,"O humorista ilustra como a bebida pode aproximar as pessoas, mencionando, por exemplo, o respeito que recebemos do garçom ao pedir uma cerveja. Ele também destaca que suas amizades da época da escola só se mantiveram porque compartilhavam momentos bebendo juntos."
https://www.youtube.com/shorts/BA1CMZjRSmI?feature=share,NAS GARRAS DA PATRULHA A PIADA DO DIA,"Sep 22, 2023",Ceará,Programa humorístico,"Narrador: A piada do dia foi enviada por Jorge Dieron Carvalho Rafael de Maracanãú no Ceará. A piada é o seguinte, depois de muitas brigas o marido chega para a esposa e...
Marido: Olha aqui mulher, eu já não aguento mais. Vamos dividir a casa. Você fica com um lado e eu fico com o outro.
Esposa: Fechado, eu fico com o lado de dentro.",,"Fechado, eu fico com o lado de dentro.",1,0,1,1,1,0,0,0,A personagem faz um jogo de palavras para indicar que quer se livrar do marido e morar sozinha.
https://www.youtube.com/shorts/Ud5mh21ZU9w?feature=share,"Jean Grey, corre aqui!!!","Mar 20, 2023",Pernambuco,Stand-up,"Uma vez eu atendi uma senhora, a senhora Catarina, eu nunca esqueci essa mulher, que ela veio toda educada: você pode, por gentileza, verificar? Porque eu não estou conseguindo fazer ligações aqui no meu... Eu: senhora Catarina, claro, senhora Catarina, vou verificar aqui o que é que tem. Quando eu fui ver, a senhora Catarina tinha quatro faturas em atraso. Quatro contas, não era uma não, duas, três não. Quatro contas sem pagar. Senhora Catarina, eu verifiquei aqui no sistema que a senhora pode estar tendo algum impedimento porque a senhora não pagou as últimas quatro contas, né? Então eu não vou estar podendo desbloquear. Nessa hora a mulher virou o demônio. Ela virou pra mim e falou: escuta aqui, você vai desbloquear a minha linha agora, se não, ela fez uma ameaça que eu nunca vou esquecer. Ela fez: se não eu vou acabar com a sua raça usando o poder da minha mente. E eu fiz: agora fudeu. Agora fudeu, que eu esperava atender tudo hoje, mas um X-men... Você tá dizendo...",X-Men é uma equipe de super-heróis de histórias em quadrinhos épicas publicadas nos Estados Unidos pela Marvel Comics. ,"Quando eu fui ver, a senhora Catarina tinha quatro faturas em atraso.; se não eu vou acabar com a sua raça usando o poder da minha mente.; que eu esperava atender tudo hoje, mas um X-men...",0,1,1,1,1,0,1,0,"O humorista diverte ao contar que, certa vez, enquanto trabalhava como atendente de telemarketing, atendeu uma cliente extremamente simpática que queria saber por que não conseguia fazer ligações. Ao verificar o sistema, ele se surpreendeu ao ver que ela tinha quatro faturas atrasadas, deixando a entender que sua ""ingenuidade"" era apenas fingimento. Quando explicou que não poderia desbloquear as ligações, a mulher mudou de tom abruptamente e, de forma bizarra, ameaçou acabar com a raça dele usando apenas o poder da mente. Ele então brinca que esperava lidar com todo tipo de cliente, menos com um personagem do X-Men, fazendo referência aos mutantes com habilidades telepáticas da franquia."
https://www.youtube.com/shorts/Q85e-nDTrOo?feature=share,"Calma galera, bora na humildade 😂 #humor #standupcomedy #humorista","Apr 24, 2023",Paraíba,Stand-up,"Olha como a gente, a nível de humanidade, olha como a gente se acha muito. Imagina Deus, Deus que é Deus. Deus manda o seu único filho morrer por uma humanidade que empurra uma porta que tá escrito PUXE. A gente não tá se achando muito não, tem muito mais em jogo, gente.",,Deus manda o seu único filho morrer por uma humanidade que empurra uma porta que tá escrito PUXE.,0,0,0,0,0,1,1,0,"O humorista zomba da humanidade de maneira extrema, dando a entender que talvez Deus esteja decepcionado por ter oferecido seu filho a favor de uma espécie tão soberba, mas que erra coisas básicas."
