video_url,brazilian_state,corrected_transcription,text_origin,specific_contexts,punchlines,funny,humor,nonsense,wit,irony,satire,sarcasm,cynicism,joke_explanation
https://www.youtube.com/shorts/yOuWoAedOik?feature=share,Alagoas,"É linda minha filha, ela é linda demais, eu levei ela no pediatra, eu falo pediatra minha gente, não é porque eu sou doida Mas é porque eu fico chateada quando eu levo ela numa veterinária, chamam ela de cachorra, acho que traumatiza a menina né Doutora Eloá é pediatra dela, aí eu levo ela lá e aí ela chegou pra mim e falou assim, olha mãe, ela me considera mãe também, por isso que eu vou nela Falei, olha mãe, tá idosa né, tá com o pelo muito opaco, tá com tártaro nos dentes, ela tá sedentária e tá com a tetinha caída Eu falei, mulher, a consulta é pra ela, não é pra mim não",Stand-up,,"Mas é porque eu fico chateada quando eu levo ela numa veterinária, chamam ela de cachorra, acho que traumatiza a menina né; Eu falei, mulher, a consulta é pra ela, não é pra mim não",Sim,Sim,Não,Não,Não,Não,Não,Não,"A humorista brinca que não gosta que chamem sua cadela de cachorra, pois esse termo pode parecer ofensivo. Também faz uma troca do termo veterinário por pediatra, indicando que considera sua cadela como uma criança. Além disso, humoriza o fato de possuir certos problemas ou características corporais que se assemelham com as de sua cadela. "
https://www.youtube.com/shorts/k4puXZL1Mr4?feature=share,Alagoas,"Quem tem filho na pandemia foi horrível, não foi? Pra ter aula online, tu tem filho, mulher? Quantos anos tem teu filho? A minha filha tem seis anos, mulher. Nossa, que coisa difícil aula homeschooling, né? Eu todo dia acordava cedo de manhã, pegava a minha filha, botava na frente do computador. A professora falava, falava, falava e a minha filha ficava bem assim. Cara, ela não tava entendendo nada, eu não sabia o que fazer, ela não entendia nada. Eu não sei se é porque a professora era ruim ou se porque a minha filha é um schitzu. Eu não sei. Eu não sei.",Stand-up,Shih Tzu é uma raça de cachorros.,Eu não sei se é porque a professora era ruim ou se porque a minha filha é um schitzu.,Sim,Sim,Não,Não,Não,Não,Não,Não,"A humorista cita que sua filha tinha dificuldades em aulas online durante a pandemia, dando a entender que ela era uma pessoa. No final, ela surpreende revelando que sua filha na verdade é uma cadela da raça Shih Tzu."
https://www.youtube.com/shorts/YmCSVAcrXsg?feature=share,Alagoas,"Eu sou publicitária, mas eu pedi demissão, porque eu acho que combina mais que o nordestino tá desempregado em São Paulo. Ariana, vamos falar de cu... Vamos! O pessoal do Rio chama todo nordestino de Paraíba. Aqui é baiano, aqui em São Paulo. E aqui, em Curitiba, como o nordestino é chamado? Aí o Uber olhou pra minha cara e falou, pelo nome? Eu falei, óbvio, é isso, né? Toda vez que eu vou fazer depilação a laser, que eu vou rapar o cu, eu olho a cor do meu cu... Peraí, deixa eu ver essa tonalidade aqui. Aí agora eu tenho um pantone, né, do cu... Pra poder ver se tá escurecendo ou não. Aí meu namorado vai chupar meu cu... Pô, ao invés de encontrar um pêssego, ele encontra um brigadeiro.",Podcast,,"porque eu acho que combina mais que o nordestino tá desempregado em São Paulo.; Aí o Uber olhou pra minha cara e falou, pelo nome?; Pô, ao invés de encontrar um pêssego, ele encontra um brigadeiro.",Sim,Sim,Não,Sim,Não,Não,Não,Não,"A humorista humoriza o fato de ser uma nordestina desempregada em São Paulo, apesar dessa situação a prejudicar. Também conta sobre um motorista de Uber que, surpreedentemente, prefere chamar nordestinos por seus nomes, ao invés de usar termos comumente redutivos como paraíba e baiano. Também brinca com o fato de usar um produto íntimo que pode surpreender o namorado."
https://www.youtube.com/shorts/GFU7Uer0Z8A?feature=share,Alagoas,"O que? E o PA? Você tem dois? Uma menina e um? Gente, o... Menino! É piá? O nome aqui é piá? Então o menino é piá? Bom... Tá bom. Um pau amigo! Eu sei! Não dá pra entender não isso daqui! Se eu perguntar pra ela...",Stand-up,,Tá bom. Um pau amigo!,Sim,Não,Não,Sim,Não,Não,Não,Não,A humorista se surpreende com o fato do termo piá se referir a meninos naquela região. Depois faz um trocadilho divertido utilizando essa informação.
https://www.youtube.com/shorts/1DPk1X9RXwo?feature=share,Maranhão,"Gente, aqui entrando no quarto de hotel, olha só, olha só nossos móveis, gente, nada disso aqui é velho. Aqui são mobílias vintage, tá? Vocês que não entendem de nada disso, porque que é vintage? É, porque se fosse lá em casa, é porque papai não tinha dinheiro pra mandar pintar esse armário, tá bom? E mora dessa, ele já tava lá no quintal, jogado lá fora, mas porque, né, as pessoas não entendem. Nesse tipo de coisa chique, é vintage. Então, nós estamos aqui em Atibaia, tá? Desfrutando de momentos maravilhosos. E, criança, eu tô falando, tô parecendo a Clarice, né, do Pão com Ovo. Mas, ok, tá tudo chique, tudo bom, tchau!",Mini vlog,,"Aqui são mobílias vintage, tá? ",Sim,Sim,Não,Não,Sim,Não,Não,Não,"A humorista utiliza o termo ""vintage"" como um eufemismo divertido para a expressão ""velho""."
https://www.youtube.com/shorts/7pvful1UHqE?feature=share,Alagoas,"Que bicho você seria se você não fosse gente? Ah, eu queria ser a minha cachorra. A sua cachorra? A minha cachorra. Mas por que especificamente ela? Me fala um pouquinho dela. Uma playboya ela. Playboya ela. Só toma banho com hidratação. Que não é ela que paga. Escova o dente pra ela. Eu tenho mó preguiça de escovar os dentes. Aí, escova o dente pra ela. Ela dorme numa cama aconchegante do lado da mãe dela o tempo inteiro. Ela só tem comida da boa. E agora, como ela tá ficando velhinha, não tá mais conseguindo comer ração e tá comendo comida feita, né? Aí você tem comida da mãe até o final da sua vida. Repare. É a vida de sonho, né? Eu me identifico como a minha cachorra. Então imita aí sua cachorra. Ela não late. Ela é assim. Ela é só isso. Foi a melhor imitação de animal que teve aqui. Ela só ri. Ela só ri e ainda é de lacinho aqui, ó. Ai, que fofa. Ela tem uma vida de playboya. Ela é uma playboya.",Podcast,,Uma playboya ela. Playboya ela. Só toma banho com hidratação; ,Sim,Sim,Não,Sim,Não,Não,Não,Não,"A humorista utiliza o termo inusitado ""playboya"" para indicar que sua cadela é privilegiada e que ela deseja ter uma vida parecida.; Aí você tem comida da mãe até o final da sua vida. "
https://www.youtube.com/shorts/9gozLF9CPH0?feature=share,Ceará,"Mulher, mulher, ei mulher, mulher! O que é homem? Isso é hora de me acordar no meio da noite? O que é que tu quer? O que é? Eu tô achando que tem um homem debaixo da cama. Que conversa é essa? Não tem nem em cima.",Programa humorístico,,Que conversa é essa? Não tem nem em cima.,Não,Não,Não,Sim,Não,Não,Sim,Não,"A mullher desdenha de seu marido, de maneira sarcástica, questionando sua masculinidade."
https://www.youtube.com/shorts/xcwFa2ff_08?feature=share,Ceará,"A piada do dia E dois amigos estão conversando Rapaz, a minha mulher é muito radical nessa questão do isolamento social Como assim, irmã? É, só porque eu cheguei em casa ontem madrugada Ela disse, eu quero a distância de você Ui! Recua, louco, recua! Tá perto",Programa humorístico,,"É, só porque eu cheguei em casa ontem madrugada Ela disse, eu quero a distância de você ",Não,Sim,Não,Não,Sim,Não,Sim,Não,"O humor surge do fato do personagem achar que a mulher está utilizando a prática do isolamento social, medida de segurança seguida durante a pandemia, como desculpa para se afastar dele."
https://www.youtube.com/shorts/MGkFOaK_vYU?feature=share,Alagoas,"Ai coxinha, uns comem pela ponta, outros comem pela bundinha, mas independente de onde você coma, meu amigo, o importante é você comer. Olha como a faca, né, ela chega a dar uma travada, por quê? Porque essa bicha tá crocante, do jeito que a gente ama, do jeito que a gente quer. Eu quero ver esse frango com catupiry, me mostra, me mostra, me mostra, me mo... Kiwi? Aqui eu gastarei meu ré primário? Como é que o cabra bota um kiwi dentro de uma coxinha, minha gente?",React,,"Kiwi? Aqui eu gastarei meu ré primário? Como é que o cabra bota um kiwi dentro de uma coxinha, minha gente?",Sim,Não,Sim,Não,Não,Não,Sim,Não,"O humorista acha um absurdo ver uma coxinha, que normalmente contém recheios salgados, ter um kiwi dentro."
https://www.youtube.com/shorts/E1XYJ1h9Hps?feature=share,Maranhão,"Eu sou do interior, né? Aqui em São Luís, a pessoa tá magra, a pessoa tá em forma, a pessoa tá com o corpo dela aqui, é saúde. No interior, é passando fome na cidade. Rapaz, eu fui pro interior agora, recente. Aí foi lá de mamãe, eu falei, meu filho, como é que tá por lá? Falei, tá tudo bem, mamãe. Ó, meu filho, quando tu precisar de algo, fica com vergonha não, viu? Falei, não, na hora, mamãe, pode deixar. Mas é sério, filho, um quilinho de arroz, a gente manda um peixe pro meu filho, tá bom? A gente tem pouco, mas o que tem, a gente ajuda. Meu filho tá tão maguinho, né? Aí eu fui visitar a vovó que morava no outro bairro, eu passando na rua, a mulher falando, olha lá, não é o filho de miúda que mora em São Luís? É ele mesmo, rapaz, isso é droga, né? Não é? Não é? Não é? Não é?",Stand-up,,"No interior, é passando fome na cidade.; Meu filho tá tão maguinho, né?; É ele mesmo, rapaz, isso é droga, né?",Sim,Sim,Não,Não,Sim,Não,Sim,Não,"O humorista aponta as diferentes perspectivas entre as pessoas que moram na cidade e as que moram no interior em relação a quem está magro. Na cidade, isso é visto como indicativo de que a pessoa está saudável. No interior, há a impressão de que a pessoa está passando fome. Ele ainda conta que sua mãe, ironicamente, pergunta se ele tá precisando de algo, na tentativa de ajudá-lo. Ainda conta sobre uma mulher que questiona, sarcasticamente, se ele está magro porque usa drogas."
